Year,Month,Day,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
2013,2,3,0.01,0.01,0.04,0.03,0.01,0.01,0.03,0.01,0,0.02,0.02,0,0.01,0.01,0.02,0.01,0.03,0.04,0.02,0.01,0.01,0.02,0.03,0.01,0.01
2013,2,4,0.22,0.18,0.21,0.21,0.24,0.21,0.22,0.16,0.19,0.15,0.06,0.06,0.17,0.13,0.03,0.01,0.04,0.06,0.11,0.03,0.05,0.03,0.06,0.03,0.03
2013,2,5,0.02,0.03,0.05,0.04,0.04,0.04,0.02,0.02,0.01,0.04,0.02,0.01,0.03,0.02,0.02,0.02,0.01,0.02,0.03,0,0.01,0.02,0.03,0.01,0.01
2013,2,6,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0,0.02,0.01,0.01,0,0
2013,2,7,0.96,0.91,1.08,1.05,1.02,0.9,0.92,0.8,0.86,0.69,0.77,0.61,0.53,0.4,0.68,0.59,0.59,0.48,0.48,0.57,0.48,0.41,0.36,0.36,0.39
2013,2,8,0.08,0.02,0.01,0.04,0.02,0.01,0.04,0,0.01,0.01,0.02,0.02,0.04,0.04,0.03,0,0.01,0.01,0,0,0.02,0.02,0.02,0.03,0
2013,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,10,0.24,0.22,0.25,0.22,0.29,0.3,0.18,0.25,0.25,0.23,0.23,0.22,0.22,0.24,0.28,0.26,0.21,0.27,0.2,0.21,0.21,0.17,0.21,0.2,0.2
2013,2,11,0.02,0,0,0.02,0,0,0.02,0.11,0,0,0.09,0.01,0.04,0.01,0.01,0.03,0.04,0,0,0,0.01,0.01,0,0.02,0
2013,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,18,0.18,0.16,0.17,0.13,0.16,0.14,0.11,0.14,0.14,0.16,0.11,0.21,0.16,0.2,0.17,0.19,0.2,0.25,0.19,0.27,0.15,0.22,0.25,0.23,0.21
2013,2,19,0.03,0.03,0.01,0,0,0,0.02,0,0,0,0,0.03,0.03,0,0,0.03,0,0,0,0.01,0.01,0.03,0.01,0.03,0
